stratum,corpus,policy,max_length,total_conversations_primary,trained_units_primary,unsupported_units_primary,conditional_prevalence_primary,affected_conversations_primary,conversation_incidence_primary,nominal_objective_exposure_primary,processed_objective_exposure_primary,supervised_token_retention_primary,total_conversations_strict,trained_units_strict,unsupported_units_strict,conditional_prevalence_strict,affected_conversations_strict,conversation_incidence_strict,nominal_objective_exposure_strict,processed_objective_exposure_strict,supervised_token_retention_strict,delta_conditional_percentage_points,delta_nominal_objective_percentage_points
all_admitted,glaive,bfd_split,256,5000,6645,1900,0.2859292701279157,1718,0.3436,0.0496634017897253,0.0498335918979078,0.9965848316025224,5000,6479,1893,0.2921747183207285,1711,0.3422,0.0481041962467578,0.0482690431575258,0.9965848316025224,0.6245448192812808,-0.15592055429675053
all_admitted,glaive,bfd_split,512,5000,6698,431,0.0643475664377426,430,0.086,0.012237550129032,0.01224636456561,0.999280240553772,5000,6532,430,0.0658297611757501,429,0.0858,0.0119309555585431,0.0119395491618361,0.999280240553772,0.14821947380074946,-0.03065945704888995
all_admitted,glaive,bfd_split,1024,5000,6713,1,0.0001489646953671,1,0.0002,0.0001032912189347,0.0001032913882854,0.9999983604568424,5000,6547,1,0.000152741713762,1,0.0002,0.0001032912189347,0.0001032913882854,0.9999983604568424,0.0003777018394899998,0.0
all_admitted,glaive,bfd_split,2048,5000,6713,0,0.0,0,0.0,0.0,0.0,1.0,5000,6547,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
all_admitted,glaive,bfd_split,4096,5000,6713,0,0.0,0,0.0,0.0,0.0,1.0,5000,6547,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
all_admitted,glaive,bfd_split,8192,5000,6713,0,0.0,0,0.0,0.0,0.0,1.0,5000,6547,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
all_admitted,glaive,wrapped_single_batch,256,5000,6606,1565,0.2369058431728731,1432,0.2864,0.040572134980309,0.0407293291988439,0.996140515406787,5000,6442,1541,0.2392114250232846,1409,0.2818,0.0392080350731072,0.0393599441712258,0.996140515406787,0.23055818504114922,-0.13640999072018004
all_admitted,glaive,wrapped_single_batch,512,5000,6654,826,0.1241358581304478,826,0.1652,0.02094352429639,0.020983811221263,0.9980800949623396,5000,6489,810,0.1248266296809986,810,0.162,0.0201778576417467,0.020216671731649,0.9980800949623396,0.06907715505508061,-0.07656666546432996
all_admitted,glaive,wrapped_single_batch,1024,5000,6686,399,0.0596769368830391,399,0.0798,0.0100389227545636,0.0100483462814718,0.9990621813137988,5000,6521,393,0.0602668302407606,393,0.0786,0.0096618278282939,0.009670897376566,0.9990621813137988,0.05898933577214993,-0.03770949262696995
all_admitted,glaive,wrapped_single_batch,2048,5000,6700,183,0.0273134328358208,183,0.0366,0.0048661640920373,0.0048683351540381,0.999554044261107,5000,6535,180,0.0275439938791124,180,0.036,0.0046972911467948,0.0046993868653367,0.999554044261107,0.023056104329160013,-0.016887294524249932
all_admitted,glaive,wrapped_single_batch,4096,5000,6706,92,0.0137190575603936,92,0.0184,0.0026740948901997,0.0026747395367829,0.9997589871558188,5000,6541,91,0.0139122458339703,91,0.0182,0.0025986759049458,0.0025993023702029,0.9997589871558188,0.019318827357669988,-0.007541898525390001
all_admitted,glaive,wrapped_single_batch,8192,5000,6711,49,0.0073014453881686,49,0.0098,0.0014280420903519,0.0014282317638088,0.9998671970042268,5000,6545,48,0.0073338426279602,48,0.0096,0.0014231234608788,0.0014233124810402,0.9998671970042268,0.0032397239791599752,-0.000491862947309997
