stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
all_admitted,glaive,bfd_split,256,6547,6479,1893,0.2921747183207285,0.2809070707134194,0.3035886139358884,1711,5000,0.3422,29340,29340,607843,609926,0.04826904315752587,0.048104196246757804,0.9896135634641821,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
all_admitted,glaive,bfd_split,512,6547,6532,430,0.06582976117575015,0.060024480252858066,0.07168977054950922,429,5000,0.0858,7277,7277,609487,609926,0.0119395491618361,0.011930955558543168,0.9977088742935696,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
all_admitted,glaive,bfd_split,1024,6547,6547,1,0.0001527417137620284,0.0,0.0004613982677155742,1,5000,0.0002,63,63,609925,609926,0.00010329138828544493,0.00010329121893475602,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
all_admitted,glaive,bfd_split,2048,6547,6547,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
all_admitted,glaive,bfd_split,4096,6547,6547,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
all_admitted,glaive,bfd_split,8192,6547,6547,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
all_admitted,glaive,wrapped_single_batch,256,6547,6442,1541,0.23921142502328469,0.22792749315385,0.2498860093530787,1409,5000,0.2818,23914,23914,607572,609926,0.0393599441712258,0.03920803507310723,0.9839621200549871,0.996140515406787,1.0,1.0,0.996140515406787,7834
all_admitted,glaive,wrapped_single_batch,512,6547,6489,810,0.12482662968099861,0.11673853235694288,0.13248606203143212,810,5000,0.162,12307,12307,608755,609926,0.02021667173164902,0.020177857641746705,0.9911409806018023,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
all_admitted,glaive,wrapped_single_batch,1024,6547,6521,393,0.06026683024076062,0.05474881689394787,0.06605385822989565,393,5000,0.0786,5893,5893,609354,609926,0.009670897376566002,0.009661827828293924,0.9960287154421873,0.9990621813137988,1.0,1.0,0.9990621813137988,1959
all_admitted,glaive,wrapped_single_batch,2048,6547,6535,180,0.02754399387911247,0.02375114924915722,0.031452844153067726,180,5000,0.036,2865,2865,609654,609926,0.004699386865336732,0.004697291146794857,0.9981670994348557,0.999554044261107,1.0,1.0,0.999554044261107,980
all_admitted,glaive,wrapped_single_batch,4096,6547,6541,91,0.013912245833970341,0.011161823734362605,0.016791189834752984,91,5000,0.0182,1585,1585,609779,609926,0.002599302370202975,0.002598675904945846,0.9990835497174279,0.9997589871558189,1.0,1.0,0.9997589871558189,490
all_admitted,glaive,wrapped_single_batch,8192,6547,6545,48,0.007333842627960275,0.005377893095658241,0.009502097877441646,48,5000,0.0096,868,868,609845,609926,0.0014233124810402644,0.0014231234608788608,0.999694516572476,0.9998671970042268,1.0,1.0,0.9998671970042268,245
exclude_numeric_only,glaive,bfd_split,256,4403,4342,1495,0.344311377245509,0.32950314555697513,0.3594076297511282,1321,5000,0.2642,26439,26439,607843,609926,0.04349642917661304,0.043347881546285945,0.9861458096752215,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
exclude_numeric_only,glaive,bfd_split,512,4403,4390,359,0.08177676537585421,0.07453848288718529,0.08950877820393427,358,5000,0.0716,6550,6550,609487,609926,0.010746742752511538,0.010739007682899237,0.997047467635703,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
exclude_numeric_only,glaive,bfd_split,1024,4403,4403,1,0.0002271178741766977,0.0,0.0006854048752432422,1,5000,0.0002,63,63,609925,609926,0.00010329138828544493,0.00010329121893475602,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
exclude_numeric_only,glaive,bfd_split,2048,4403,4403,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
exclude_numeric_only,glaive,bfd_split,4096,4403,4403,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
exclude_numeric_only,glaive,bfd_split,8192,4403,4403,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
exclude_numeric_only,glaive,wrapped_single_batch,256,4403,4319,1198,0.2773790229219727,0.26357465311803,0.29098510083911366,1075,5000,0.215,21239,21239,607572,609926,0.03495717379997761,0.034822257126274334,0.9809220985691574,0.996140515406787,1.0,1.0,0.996140515406787,7834
exclude_numeric_only,glaive,wrapped_single_batch,512,4403,4357,636,0.14597199908193711,0.13634106928989162,0.1562431469439363,636,5000,0.1272,10851,10851,608755,609926,0.01782490492891229,0.017790682804143452,0.9895525777878719,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
