corpus,policy,max_length,conversations,edge_bearing_conversations,nominal_tokens,nominal_supervised_tokens,retained_tokens,unique_retained_tokens,effective_supervised_tokens,unique_effective_supervised_tokens,generated_examples,attention_groups,rows_with_tokens,rows_with_supervision,mean_sequence_length,median_sequence_length,p95_sequence_length,seconds
glaive,bfd_split,256,5000,4849,2005304,609926,2005304,2005304,607843,607843,7863,10292,5000,5000,255.03039552333715,256.0,256.0,4.204
glaive,wrapped_single_batch,256,5000,4849,2005304,609926,2005304,2005304,607572,607572,7834,7834,5000,5000,255.9744702578504,256.0,256.0,3.832
glaive,bfd_split,512,5000,4849,2005304,609926,2005304,2005304,609487,609487,4483,5850,5000,5000,447.3129600713808,499.0,512.0,4.065
glaive,wrapped_single_batch,512,5000,4849,2005304,609926,2005304,2005304,608755,608755,3917,3917,5000,5000,511.9489405157008,512.0,512.0,3.961
glaive,bfd_split,1024,5000,4849,2005304,609926,2005304,2005304,609925,609925,2014,5001,5000,5000,995.6822244289972,1024.0,1024.0,4.006
glaive,wrapped_single_batch,1024,5000,4849,2005304,609926,2005304,2005304,609354,609354,1959,1959,5000,5000,1023.6365492598264,1024.0,1024.0,3.769
glaive,bfd_split,2048,5000,4849,2005304,609926,2005304,2005304,609926,609926,998,5000,5000,5000,2009.3226452905812,2047.0,2048.0,3.852
glaive,wrapped_single_batch,2048,5000,4849,2005304,609926,2005304,2005304,609654,609654,980,980,5000,5000,2046.2285714285715,2048.0,2048.0,4.012
glaive,bfd_split,4096,5000,4849,2005304,609926,2005304,2005304,609926,609926,494,5000,5000,5000,4059.31983805668,4095.0,4096.0,3.887
glaive,wrapped_single_batch,4096,5000,4849,2005304,609926,2005304,2005304,609779,609779,490,490,5000,5000,4092.457142857143,4096.0,4096.0,4.222
glaive,bfd_split,8192,5000,4849,2005304,609926,2005304,2005304,609926,609926,248,5000,5000,5000,8085.903225806452,8190.0,8192.0,3.781
glaive,wrapped_single_batch,8192,5000,4849,2005304,609926,2005304,2005304,609845,609845,245,245,5000,5000,8184.914285714286,8192.0,8192.0,4.787
