corpus,policy,max_length,conversations,edge_bearing_conversations,nominal_tokens,nominal_supervised_tokens,retained_tokens,unique_retained_tokens,effective_supervised_tokens,unique_effective_supervised_tokens,generated_examples,attention_groups,rows_with_tokens,rows_with_supervision,mean_sequence_length,median_sequence_length,p95_sequence_length,seconds
toolace,bfd_split,256,11300,672,8380291,935907,8380291,8380291,932287,932287,32799,38473,11300,11300,255.50446659959144,256.0,256.0,15.319
toolace,wrapped_single_batch,256,11300,672,8380291,935907,8380291,8380291,932232,932232,32736,32736,11300,11300,255.99618157380257,256.0,256.0,14.441
toolace,bfd_split,512,11300,672,8380291,935907,8380291,8380291,933988,933988,16618,21917,11300,11300,504.28998676134313,512.0,512.0,14.398
toolace,wrapped_single_batch,512,11300,672,8380291,935907,8380291,8380291,934068,934068,16368,16368,11300,11300,511.9923631476051,512.0,512.0,13.9
toolace,bfd_split,1024,11300,672,8380291,935907,8380291,8380291,935165,935165,8569,13398,11300,11300,977.9777103512662,1024.0,1024.0,14.417
toolace,wrapped_single_batch,1024,11300,672,8380291,935907,8380291,8380291,935001,935001,8184,8184,11300,11300,1023.9847262952102,1024.0,1024.0,13.321
toolace,bfd_split,2048,11300,672,8380291,935907,8380291,8380291,935838,935838,4168,11416,11300,11300,2010.6264395393473,2047.0,2048.0,13.858
toolace,wrapped_single_batch,2048,11300,672,8380291,935907,8380291,8380291,935440,935440,4092,4092,11300,11300,2047.9694525904204,2048.0,2048.0,13.299
toolace,bfd_split,4096,11300,672,8380291,935907,8380291,8380291,935904,935904,2065,11303,11300,11300,4058.252300242131,4095.0,4096.0,13.904
toolace,wrapped_single_batch,4096,11300,672,8380291,935907,8380291,8380291,935671,935671,2046,2046,11300,11300,4095.9389051808407,4096.0,4096.0,13.635
toolace,bfd_split,8192,11300,672,8380291,935907,8380291,8380291,935907,935907,1034,11300,11300,11300,8104.730174081238,8191.0,8192.0,13.824
toolace,wrapped_single_batch,8192,11300,672,8380291,935907,8380291,8380291,935779,935779,1023,1023,11300,11300,8191.877810361681,8192.0,8192.0,13.703
retool,bfd_split,256,2000,1145,4290596,3380027,4290596,4290596,3366992,3366992,16780,17731,2000,2000,255.69702026221697,256.0,256.0,9.422
retool,wrapped_single_batch,256,2000,1145,4290596,3380027,4290596,4290596,3366887,3366887,16761,16761,2000,2000,255.98687429151005,256.0,256.0,9.063
retool,bfd_split,512,2000,1145,4290596,3380027,4290596,4290596,3373024,3373024,8396,9355,2000,2000,511.0285850404955,512.0,512.0,8.66
retool,wrapped_single_batch,512,2000,1145,4290596,3380027,4290596,4290596,3373461,3373461,8381,8381,2000,2000,511.94320486815417,512.0,512.0,8.528
retool,bfd_split,1024,2000,1145,4290596,3380027,4290596,4290596,3376979,3376979,4197,5228,2000,2000,1022.3006909697403,1024.0,1024.0,8.426
retool,wrapped_single_batch,1024,2000,1145,4290596,3380027,4290596,4290596,3376762,3376762,4191,4191,2000,2000,1023.7642567406348,1024.0,1024.0,8.346
retool,bfd_split,2048,2000,1145,4290596,3380027,4290596,4290596,3379112,3379112,2294,2950,2000,2000,1870.355710549259,2048.0,2048.0,8.595
retool,wrapped_single_batch,2048,2000,1145,4290596,3380027,4290596,4290596,3378386,3378386,2096,2096,2000,2000,2047.0400763358775,2048.0,2048.0,8.448
retool,bfd_split,4096,2000,1145,4290596,3380027,4290596,4290596,3379845,3379845,1072,2184,2000,2000,4002.4216417910447,4095.0,4096.0,8.586
retool,wrapped_single_batch,4096,2000,1145,4290596,3380027,4290596,4290596,3379199,3379199,1048,1048,2000,2000,4094.080152671755,4096.0,4096.0,8.619
retool,bfd_split,8192,2000,1145,4290596,3380027,4290596,4290596,3380005,3380005,533,2022,2000,2000,8049.898686679175,8187.0,8192.0,8.679
retool,wrapped_single_batch,8192,2000,1145,4290596,3380027,4290596,4290596,3379622,3379622,524,524,2000,2000,8188.160305343511,8192.0,8192.0,9.516
