stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
all_admitted,glaive,bfd,256,6713,1677,0,0.0,0.0,0.0,0,5000,0.0,0,0,206806,609926,0.0,0.0,0.249813794130791,0.33906736227017703,0.8238,0.6293793858686763,0.33906736227017703,4995
all_admitted,glaive,bfd,512,6713,6154,0,0.0,0.0,0.0,0,5000,0.0,0,0,561041,609926,0.0,0.0,0.9167287352897363,0.9198509327361024,0.9994,0.96155296154598,0.9198509327361024,4453
all_admitted,glaive,bfd,1024,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609844,609926,0.0,0.0,1.0,0.9998655574610691,1.0,0.9999591084444054,0.9998655574610691,2014
all_admitted,glaive,bfd,2048,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
all_admitted,glaive,bfd,4096,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
all_admitted,glaive,bfd,8192,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
all_admitted,glaive,bfd_split,256,6713,6645,1900,0.28592927012791575,0.2750373087814554,0.2969187034390218,1718,5000,0.3436,30291,30291,607843,609926,0.04983359189790785,0.04966340178972531,0.9898704007150305,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
all_admitted,glaive,bfd_split,512,6713,6698,431,0.06434756643774261,0.05867451781904388,0.07044169395109406,430,5000,0.086,7464,7464,609487,609926,0.012246364565610094,0.012237550129032047,0.997765529569492,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
all_admitted,glaive,bfd_split,1024,6713,6713,1,0.00014896469536719798,0.0,0.0004495813335459687,1,5000,0.0002,63,63,609925,609926,0.00010329138828544493,0.00010329121893475602,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
all_admitted,glaive,bfd_split,2048,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
all_admitted,glaive,bfd_split,4096,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
all_admitted,glaive,bfd_split,8192,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
all_admitted,glaive,drop_overlength,256,6713,593,0,0.0,0.0,0.0,0,5000,0.0,0,0,37514,609926,0.0,0.0,0.08833606435274839,0.061505822017752974,0.1178,0.0662647658409897,0.061505822017752974,589
all_admitted,glaive,drop_overlength,512,6713,5226,0,0.0,0.0,0.0,0,5000,0.0,0,0,453831,609926,0.0,0.0,0.7784894979889766,0.7440755107996708,0.8302,0.744783833274157,0.7440755107996708,4151
all_admitted,glaive,drop_overlength,1024,6713,6711,0,0.0,0.0,0.0,0,5000,0.0,0,0,609547,609926,0.0,0.0,0.9997020706092656,0.9993786131432337,0.9998,0.9994484626769806,0.9993786131432337,4999
all_admitted,glaive,drop_overlength,2048,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5000
all_admitted,glaive,drop_overlength,4096,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5000
all_admitted,glaive,drop_overlength,8192,6713,6713,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5000
