corpus,policy,max_length,conversations,edge_bearing_conversations,nominal_tokens,nominal_supervised_tokens,retained_tokens,unique_retained_tokens,effective_supervised_tokens,unique_effective_supervised_tokens,generated_examples,attention_groups,rows_with_tokens,rows_with_supervision,mean_sequence_length,median_sequence_length,p95_sequence_length,seconds
glaive,keep_start,256,5000,5000,2005304,609926,1036561,1036561,206806,206806,4119,4119,4119,4119,251.65355668851663,256.0,256.0,0.875
glaive,bfd,256,5000,5000,2005304,609926,1262097,1262097,206806,206806,4995,5000,5000,4119,252.67207207207207,256.0,256.0,2.606
glaive,bfd_split,256,5000,5000,2005304,609926,2005304,2005304,607843,607843,7863,10292,5000,5000,255.03039552333715,256.0,256.0,4.096
glaive,wrapped,256,5000,5000,2005304,609926,2005304,405159,607559,122687,7837,7837,1018,1017,255.87648334822,256.0,256.0,3.48
glaive,wrapped_single_batch,256,5000,5000,2005304,609926,2005304,2005304,607572,607572,7834,7834,5000,5000,255.9744702578504,256.0,256.0,3.836
glaive,drop_overlength,256,5000,5000,2005304,609926,132881,132881,37514,37514,589,589,589,589,225.6044142614601,234.0,255.0,0.345
glaive,keep_end,256,5000,5000,2005304,609926,1262097,1262097,553780,553780,5000,5000,5000,5000,252.4194,256.0,256.0,1.378
glaive,keep_start,512,5000,5000,2005304,609926,1926670,1926670,561041,561041,4997,4997,4997,4997,385.5653392035221,388.0,512.0,1.691
glaive,bfd,512,5000,5000,2005304,609926,1928206,1928206,561041,561041,4453,5000,5000,4997,433.0128003593083,439.0,512.0,3.802
glaive,bfd_split,512,5000,5000,2005304,609926,2005304,2005304,609487,609487,4483,5850,5000,5000,447.3129600713808,499.0,512.0,3.859
glaive,wrapped,512,5000,5000,2005304,609926,2005304,405159,608749,122928,3920,3920,1018,1017,511.5571428571429,512.0,512.0,3.411
glaive,wrapped_single_batch,512,5000,5000,2005304,609926,2005304,2005304,608755,608755,3917,3917,5000,5000,511.9489405157008,512.0,512.0,3.738
glaive,drop_overlength,512,5000,5000,2005304,609926,1493518,1493518,453831,453831,4151,4151,4151,4151,359.7971573114912,368.0,488.0,1.343
glaive,keep_end,512,5000,5000,2005304,609926,1928206,1928206,608624,608624,5000,5000,5000,5000,385.6412,389.0,512.0,1.797
glaive,keep_start,1024,5000,5000,2005304,609926,2005222,2005222,609844,609844,5000,5000,5000,5000,401.0444,389.0,625.0500000000002,1.808
glaive,bfd,1024,5000,5000,2005304,609926,2005222,2005222,609844,609844,2014,5000,5000,5000,995.6415094339624,1024.0,1024.0,3.933
glaive,bfd_split,1024,5000,5000,2005304,609926,2005304,2005304,609925,609925,2014,5001,5000,5000,995.6822244289972,1024.0,1024.0,3.873
glaive,wrapped,1024,5000,5000,2005304,609926,2005304,405159,609362,123051,1960,1960,1018,1017,1023.1142857142858,1024.0,1024.0,3.482
glaive,wrapped_single_batch,1024,5000,5000,2005304,609926,2005304,2005304,609354,609354,1959,1959,5000,5000,1023.6365492598264,1024.0,1024.0,3.817
glaive,drop_overlength,1024,5000,5000,2005304,609926,2004198,2004198,609547,609547,4999,4999,4999,4999,400.9197839567914,389.0,625.0,1.781
glaive,keep_end,1024,5000,5000,2005304,609926,2005222,2005222,609926,609926,5000,5000,5000,5000,401.0444,389.0,625.0500000000002,1.837
glaive,keep_start,2048,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.835
glaive,bfd,2048,5000,5000,2005304,609926,2005304,2005304,609926,609926,998,5000,5000,5000,2009.3226452905812,2047.0,2048.0,3.791
glaive,bfd_split,2048,5000,5000,2005304,609926,2005304,2005304,609926,609926,998,5000,5000,5000,2009.3226452905812,2047.0,2048.0,3.786
glaive,wrapped,2048,5000,5000,2005304,609926,2005304,405159,609686,123117,982,982,1018,1017,2042.061099796334,2048.0,2048.0,3.637
glaive,wrapped_single_batch,2048,5000,5000,2005304,609926,2005304,2005304,609654,609654,980,980,5000,5000,2046.2285714285715,2048.0,2048.0,3.927
glaive,drop_overlength,2048,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.8
glaive,keep_end,2048,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.823
glaive,keep_start,4096,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.822
glaive,bfd,4096,5000,5000,2005304,609926,2005304,2005304,609926,609926,494,5000,5000,5000,4059.31983805668,4095.0,4096.0,3.902
glaive,bfd_split,4096,5000,5000,2005304,609926,2005304,2005304,609926,609926,494,5000,5000,5000,4059.31983805668,4095.0,4096.0,3.886
glaive,wrapped,4096,5000,5000,2005304,609926,2005304,405159,609855,123152,493,493,1018,1017,4067.553752535497,4096.0,4096.0,3.88
glaive,wrapped_single_batch,4096,5000,5000,2005304,609926,2005304,2005304,609779,609779,490,490,5000,5000,4092.457142857143,4096.0,4096.0,4.218
glaive,drop_overlength,4096,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.785
glaive,keep_end,4096,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.828
glaive,keep_start,8192,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.817
glaive,bfd,8192,5000,5000,2005304,609926,2005304,2005304,609926,609926,248,5000,5000,5000,8085.903225806452,8190.0,8192.0,3.829
glaive,bfd_split,8192,5000,5000,2005304,609926,2005304,2005304,609926,609926,248,5000,5000,5000,8085.903225806452,8190.0,8192.0,3.818
glaive,wrapped,8192,5000,5000,2005304,609926,2005304,405159,609915,123164,248,248,1018,1017,8085.903225806452,8192.0,8192.0,4.453
glaive,wrapped_single_batch,8192,5000,5000,2005304,609926,2005304,2005304,609845,609845,245,245,5000,5000,8184.914285714286,8192.0,8192.0,4.834
glaive,drop_overlength,8192,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.784
glaive,keep_end,8192,5000,5000,2005304,609926,2005304,2005304,609926,609926,5000,5000,5000,5000,401.0608,389.0,625.0500000000002,1.821
