corpus,policy,max_length,conversations,edge_bearing_conversations,nominal_tokens,nominal_supervised_tokens,retained_tokens,unique_retained_tokens,effective_supervised_tokens,unique_effective_supervised_tokens,generated_examples,attention_groups,rows_with_tokens,rows_with_supervision,mean_sequence_length,median_sequence_length,p95_sequence_length,seconds
toolace,keep_start,256,11300,678,8380291,935907,94246,94246,10988,10988,403,403,403,403,233.86104218362283,244.0,256.0,0.568
toolace,bfd,256,11300,678,8380291,935907,2883878,2883878,10988,10988,11300,11300,11300,403,255.21044247787611,256.0,256.0,6.785
toolace,bfd_split,256,11300,678,8380291,935907,8380291,8380291,932287,932287,32799,38473,11300,11300,255.50446659959144,256.0,256.0,15.85
toolace,wrapped,256,11300,678,8380291,935907,8380291,1311369,2767318,337948,32742,32742,1000,1000,255.9492700506994,256.0,256.0,15.443
toolace,wrapped_single_batch,256,11300,678,8380291,935907,8380291,8380291,932232,932232,32736,32736,11300,11300,255.99618157380257,256.0,256.0,14.577
toolace,drop_overlength,256,11300,678,8380291,935907,51494,51494,7893,7893,236,236,236,236,218.1949152542373,218.0,252.25,0.411
toolace,keep_end,256,11300,678,8380291,935907,2883878,2883878,724642,724642,11300,11300,11300,11300,255.21044247787611,256.0,256.0,2.443
toolace,keep_start,512,11300,678,8380291,935907,1781668,1781668,161267,161267,4277,4277,4277,4277,416.569558101473,435.0,512.0,1.701
toolace,bfd,512,11300,678,8380291,935907,5377444,5377444,161267,161267,11076,11300,11300,4277,485.50415312387145,512.0,512.0,9.954
toolace,bfd_split,512,11300,678,8380291,935907,8380291,8380291,933988,933988,16618,21917,11300,11300,504.28998676134313,512.0,512.0,15.095
toolace,wrapped,512,11300,678,8380291,935907,8380291,1311369,2772785,338626,16375,16375,1000,1000,511.77349618320613,512.0,512.0,15.243
toolace,wrapped_single_batch,512,11300,678,8380291,935907,8380291,8380291,934068,934068,16368,16368,11300,11300,511.9923631476051,512.0,512.0,14.609
toolace,drop_overlength,512,11300,678,8380291,935907,1253796,1253796,125728,125728,3246,3246,3246,3246,386.2587800369686,394.5,502.0,1.089
toolace,keep_end,512,11300,678,8380291,935907,5377444,5377444,825431,825431,11300,11300,11300,11300,475.88,512.0,512.0,3.845
toolace,keep_start,1024,11300,678,8380291,935907,6583384,6583384,618299,618299,10208,10208,10208,10208,644.9239811912225,627.0,1024.0,4.304
toolace,bfd,1024,11300,678,8380291,935907,7701592,7701592,618299,618299,8099,11300,11300,10208,950.9312260772934,1023.0,1024.0,12.756
toolace,bfd_split,1024,11300,678,8380291,935907,8380291,8380291,935165,935165,8569,13398,11300,11300,977.9777103512662,1024.0,1024.0,14.922
