split,family,corruption,seed,records,exact,copied_stale,value_token_nll,whole_target_nll
conflict,checksum,0,20260808,100,0.99,0.0,0.010314052842404635,0.0066480398170097035
conflict,checksum,0,20260809,100,1.0,0.0,6.759584433893906e-05,5.695243420632323e-05
conflict,checksum,0,20260810,100,1.0,0.0,6.328722125999776e-05,5.6379386442131364e-05
conflict,checksum,25,20260808,100,1.0,0.0,0.00014189445704687387,0.00017941424106538762
conflict,checksum,25,20260809,100,1.0,0.0,0.00014169165240673464,0.00014995217068644706
conflict,checksum,25,20260810,100,1.0,0.0,0.00013375743792494178,0.00011547215621249052
conflict,checksum,50,20260808,100,1.0,0.0,0.00022582413374038878,0.0002144176688307198
conflict,checksum,50,20260809,100,1.0,0.0,0.00019232787333749003,0.00017983261073823087
conflict,checksum,50,20260810,100,1.0,0.0,0.0002007523442443926,0.00016590148734394461
conflict,checksum,100,20260808,100,0.0,0.0,1.4050401735305786,0.880562544465065
conflict,checksum,100,20260809,100,0.0,0.0,0.9665213209390641,0.6053584104776383
conflict,checksum,100,20260810,100,0.0,0.0,0.9917398309707641,0.6218831050395965
conflict,error,0,20260808,100,1.0,0.0,5.214855425037968e-05,4.755037283757702e-05
conflict,error,0,20260809,100,1.0,0.0,4.1867516815727865e-05,4.394200888782507e-05
conflict,error,0,20260810,100,1.0,0.0,3.4067077426698236e-05,3.7735879086540084e-05
conflict,error,25,20260808,100,1.0,0.0,0.00013448638586851302,0.00015545857466349843
conflict,error,25,20260809,100,1.0,0.0,0.00014875515953463036,0.00015455081716936548
conflict,error,25,20260810,100,1.0,0.0,0.00013453987938191858,0.00013086938080959952
conflict,error,50,20260808,100,1.0,0.0,0.0001864595539518632,0.0001862765788246179
conflict,error,50,20260809,100,1.0,0.0,0.00023676845356021659,0.00019229367157095112
conflict,error,50,20260810,100,1.0,0.0,0.00013396477728747414,0.00012873154100816463
conflict,error,100,20260808,100,0.0,0.0,1.1511635929346085,0.6924477931857109
conflict,error,100,20260809,100,0.0,0.0,0.8248818883299828,0.49603216916322707
conflict,error,100,20260810,100,0.0,0.0,0.9851162803173065,0.5929794338345528
conflict,inventory,0,20260808,100,1.0,0.0,4.613700974914536e-05,4.004543719929643e-05
conflict,inventory,0,20260809,100,1.0,0.0,3.51924903679901e-05,3.718271778780036e-05
conflict,inventory,0,20260810,100,1.0,0.0,4.389727246234543e-05,4.365112963569118e-05
conflict,inventory,25,20260808,100,1.0,0.0,0.0001314566488872515,0.0001559477500995854
conflict,inventory,25,20260809,100,1.0,0.0,0.00014977861657825998,0.00015454135587788186
conflict,inventory,25,20260810,100,1.0,0.0,0.00015074964687300963,0.00012585047716129338
conflict,inventory,50,20260808,100,1.0,0.0,0.00019373244573216652,0.00018622480769408867
conflict,inventory,50,20260809,100,1.0,0.0,0.0002760792935805512,0.00022018730018317
conflict,inventory,50,20260810,100,1.0,0.0,0.00021421927731353209,0.00018882369025959633
conflict,inventory,100,20260808,100,0.0,0.0,1.6201100957393646,0.9687937426567078
conflict,inventory,100,20260809,100,0.0,0.0,1.0274795907735825,0.6138799911737443
conflict,inventory,100,20260810,100,0.0,0.0,1.0512489873170852,0.6299228802323341
conflict,order,0,20260808,100,1.0,0.0,4.777239385020948e-05,4.339694514783332e-05
conflict,order,0,20260809,100,1.0,0.0,0.0004285744929006796,0.00028250848799871164
conflict,order,0,20260810,100,1.0,0.0,0.0001302427252517191,9.673887174358243e-05
conflict,order,25,20260808,100,1.0,0.0,9.657920827521593e-05,0.00014250691936467774
conflict,order,25,20260809,100,1.0,0.0,0.0001395770448289113,0.00017140365125669632
conflict,order,25,20260810,100,1.0,0.0,0.00016917123650273425,0.00014387207840627525
conflict,order,50,20260808,100,1.0,0.0,0.00017508560114947613,0.00017878694772662128
conflict,order,50,20260809,100,1.0,0.0,0.0002472085061253893,0.00020364189105748665
conflict,order,50,20260810,100,1.0,0.0,0.00014397965647731326,0.00014509789805742913
conflict,order,100,20260808,100,0.0,0.0,1.3016030514240264,0.7726722973585128
conflict,order,100,20260809,100,0.0,0.0,0.8767808642983437,0.5200730758905411
conflict,order,100,20260810,100,0.0,0.0,0.9127758774161339,0.542599129974842
conflict,route,0,20260808,100,1.0,0.0,5.915082805131533e-05,5.185023960621038e-05
conflict,route,0,20260809,100,0.99,0.0,0.0022516688738596713,0.0016190095020829176
conflict,route,0,20260810,100,1.0,0.0,4.5960126819863944e-05,4.6733464714634465e-05
conflict,route,25,20260808,100,1.0,0.0,0.00011706679828421329,0.00013716256609768606
conflict,route,25,20260809,100,1.0,0.0,0.0001283758250428946,0.00013740736641921103
conflict,route,25,20260810,100,1.0,0.0,0.00010707655612350208,9.729499477543868e-05
conflict,route,50,20260808,100,1.0,0.0,0.00017914984331582673,0.00017583068904059474
conflict,route,50,20260809,100,1.0,0.0,0.00018553987003542717,0.00016112577530293492
conflict,route,50,20260810,100,1.0,0.0,9.900244318487238e-05,0.00010378472499724012
conflict,route,100,20260808,100,0.0,0.0,1.1095236057043076,0.7510554194450378
conflict,route,100,20260809,100,0.0,0.0,0.8011905750632287,0.5420637911558152
conflict,route,100,20260810,100,0.0,0.0,0.8760959050059318,0.5931958243250847
conflict,ticket,0,20260808,100,1.0,0.0,6.551796052008285e-05,5.4532158901565706e-05
conflict,ticket,0,20260809,100,1.0,0.0,0.00017567326494827284,0.00012270814914700168
conflict,ticket,0,20260810,100,1.0,0.0,5.7051503663387845e-05,5.02788913945551e-05
conflict,ticket,25,20260808,100,1.0,0.0,0.00010927855082627502,0.00014834161374892573
conflict,ticket,25,20260809,100,1.0,0.0,0.00017153394632259732,0.00016844582693011036
conflict,ticket,25,20260810,100,1.0,0.0,0.00012464009674658882,0.00011689451479469425
conflict,ticket,50,20260808,100,1.0,0.0,0.0001477068124404468,0.00016039380097936372
conflict,ticket,50,20260809,100,1.0,0.0,0.0002644538316872058,0.00022685043775709347
conflict,ticket,50,20260810,100,1.0,0.0,0.00016103084770293207,0.00016032792904297822
