split,corruption,seed,records,exact,copied_stale,value_token_nll,whole_target_nll
conflict,0,20260808,600,0.9983333333333333,0.0,0.0017641299314709613,0.0011475691617836977
conflict,0,20260809,600,0.9983333333333333,0.0,0.0005000954138718801,0.00036038388335176325
conflict,0,20260810,600,1.0,0.0,6.241765448066871e-05,5.525293716952243e-05
conflict,25,20260808,600,1.0,0.0,0.00012179367486472377,0.00015313861083996017
conflict,25,20260809,600,1.0,0.0,0.00014661870745233803,0.00015605019805661868
conflict,25,20260810,600,1.0,0.0,0.00013665580892544918,0.0001217089336932986
conflict,50,20260808,600,1.0,0.0,0.0001846597317216947,0.0001836550821826677
conflict,50,20260809,600,1.0,0.0,0.00023372963805437999,0.00019732194776831118
conflict,50,20260810,600,1.0,0.0,0.00015882489103508608,0.00014877787845155884
conflict,100,20260808,600,0.0,0.0,1.2960519519448281,0.8019181559979915
conflict,100,20260809,600,0.0,0.0,0.8811244417726993,0.545420634796222
conflict,100,20260810,600,0.0,0.0,0.9399379468957583,0.582857118944327
test,0,20260808,600,0.9983333333333333,0.0,7.296914138957314e-05,0.01481357722934869
test,0,20260809,600,0.995,0.0,0.0016772939066375633,0.0011116630794943678
test,0,20260810,600,0.325,0.0,0.0009152284656677997,0.21888954843105846
test,25,20260808,600,1.0,0.0,0.0002830786625994127,0.0003393942846499461
test,25,20260809,600,1.0,0.0,0.0003025786475397278,0.0003052188285558562
test,25,20260810,600,1.0,0.0,0.00023785906929333579,0.00020581004243164596
test,50,20260808,600,1.0,0.0,0.00047862370591246874,0.00043402470873843413
test,50,20260809,600,1.0,0.0,0.0003683387927048898,0.0003357655352980752
test,50,20260810,600,1.0,0.0,0.00026266446973143806,0.00023636703629260105
test,100,20260808,600,0.0,0.0,1.5519944588343302,0.9615025578935941
test,100,20260809,600,0.0,0.0,1.0269617065787315,0.6362474053104719
test,100,20260810,600,0.0,0.0,1.156533402899901,0.7230573683977127
