split,family,corruption,seed,records,primary_exact,target_substring,stale_substring
conflict,checksum,0,20260808,100,0.99,0.99,0.0
conflict,checksum,0,20260809,100,1.0,1.0,0.0
conflict,checksum,0,20260810,100,1.0,1.0,0.0
conflict,checksum,25,20260808,100,1.0,1.0,0.0
conflict,checksum,25,20260809,100,1.0,1.0,0.0
conflict,checksum,25,20260810,100,1.0,1.0,0.0
conflict,checksum,50,20260808,100,1.0,1.0,0.0
conflict,checksum,50,20260809,100,1.0,1.0,0.0
conflict,checksum,50,20260810,100,1.0,1.0,0.0
conflict,checksum,100,20260808,100,0.0,0.0,0.0
conflict,checksum,100,20260809,100,0.0,0.0,0.0
conflict,checksum,100,20260810,100,0.0,0.0,0.0
conflict,error,0,20260808,100,1.0,1.0,0.0
conflict,error,0,20260809,100,1.0,1.0,0.0
conflict,error,0,20260810,100,1.0,1.0,0.0
conflict,error,25,20260808,100,1.0,1.0,0.0
conflict,error,25,20260809,100,1.0,1.0,0.0
conflict,error,25,20260810,100,1.0,1.0,0.0
conflict,error,50,20260808,100,1.0,1.0,0.0
conflict,error,50,20260809,100,1.0,1.0,0.0
conflict,error,50,20260810,100,1.0,1.0,0.0
conflict,error,100,20260808,100,0.0,0.0,0.0
conflict,error,100,20260809,100,0.0,0.0,0.0
conflict,error,100,20260810,100,0.0,0.0,0.0
conflict,inventory,0,20260808,100,1.0,1.0,0.0
conflict,inventory,0,20260809,100,1.0,1.0,0.0
conflict,inventory,0,20260810,100,1.0,1.0,0.0
conflict,inventory,25,20260808,100,1.0,1.0,0.0
conflict,inventory,25,20260809,100,1.0,1.0,0.0
conflict,inventory,25,20260810,100,1.0,1.0,0.0
conflict,inventory,50,20260808,100,1.0,1.0,0.0
conflict,inventory,50,20260809,100,1.0,1.0,0.0
conflict,inventory,50,20260810,100,1.0,1.0,0.0
conflict,inventory,100,20260808,100,0.0,0.0,0.0
conflict,inventory,100,20260809,100,0.0,0.0,0.0
conflict,inventory,100,20260810,100,0.0,0.0,0.0
conflict,order,0,20260808,100,1.0,1.0,0.0
conflict,order,0,20260809,100,1.0,1.0,0.0
conflict,order,0,20260810,100,1.0,1.0,0.0
conflict,order,25,20260808,100,1.0,1.0,0.0
conflict,order,25,20260809,100,1.0,1.0,0.0
conflict,order,25,20260810,100,1.0,1.0,0.0
conflict,order,50,20260808,100,1.0,1.0,0.0
conflict,order,50,20260809,100,1.0,1.0,0.0
conflict,order,50,20260810,100,1.0,1.0,0.0
conflict,order,100,20260808,100,0.0,0.0,0.0
conflict,order,100,20260809,100,0.0,0.0,0.0
conflict,order,100,20260810,100,0.0,0.0,0.0
