split,corruption,seed,records,primary_exact,target_substring,stale_substring
conflict,0,20260808,600,0.9983333333333333,0.9983333333333333,0.0
conflict,0,20260809,600,0.9983333333333333,0.9983333333333333,0.0
conflict,0,20260810,600,1.0,1.0,0.0
conflict,25,20260808,600,1.0,1.0,0.0
conflict,25,20260809,600,1.0,1.0,0.0
conflict,25,20260810,600,1.0,1.0,0.0
conflict,50,20260808,600,1.0,1.0,0.0
conflict,50,20260809,600,1.0,1.0,0.0
conflict,50,20260810,600,1.0,1.0,0.0
conflict,100,20260808,600,0.0,0.0,0.0
conflict,100,20260809,600,0.0,0.0,0.0
conflict,100,20260810,600,0.0,0.0,0.0
test,0,20260808,600,0.9983333333333333,1.0,0.0
test,0,20260809,600,0.995,0.995,0.0
test,0,20260810,600,0.325,0.9866666666666667,0.0
test,25,20260808,600,1.0,1.0,0.0
test,25,20260809,600,1.0,1.0,0.0
test,25,20260810,600,1.0,1.0,0.0
test,50,20260808,600,1.0,1.0,0.0
test,50,20260809,600,1.0,1.0,0.0
test,50,20260810,600,1.0,1.0,0.0
test,100,20260808,600,0.0,0.0,0.0
test,100,20260809,600,0.0,0.0,0.0
test,100,20260810,600,0.0,0.0,0.0
