corpus,policy,max_length,conversations,valid_targets,retained_targets,target_retention,supervised_token_retention,target_supervision_ratio,input_token_ratio,unique_input_coverage,examples_per_conversation,dataset_expansion_factor,split_conversations,duplicate_source_tokens,weighting_ratio_cv,length_mean,length_median,length_p95
retool,grouped_closure,256,1160,1611,1217,0.755431409062694,0.06758716729428073,0.32003234222493415,0.09172122398628013,0.08899511558459765,0.9405172413793104,0.09172122398628013,135,482,1.0973757317844774,203.29147571035747,220.0,254.0
retool,grouped_closure,512,1160,1611,1445,0.8969584109248914,0.10781386138823883,0.5105099675824438,0.20293999542615915,0.20033340239584896,0.9698275862068966,0.20293999542615915,60,311,0.9367288722174906,436.20355555555557,448.0,508.0
retool,grouped_closure,1024,1160,1611,1544,0.9584109248913718,0.14523525053918598,0.6877041791277141,0.397025514670822,0.3963518449823601,0.9758620689655172,0.397025514670822,14,109,0.8847853054461187,848.0980565371025,898.5,1015.0
retool,grouped_closure,2048,1160,1611,1596,0.9906890130353817,0.18504724738069897,0.8762181693999362,0.6516788601293826,0.6514249416587162,0.996551724137931,0.6516788601293826,6,23,0.8631535993936271,1363.1695501730103,1339.5,2009.0
retool,last_complete_tool_round,256,1160,1611,1178,0.7312228429546865,0.06360034639417557,0.3011543261492413,0.06277369123431258,0.06277369123431258,1.0155172413793103,0.06277369123431258,211,0,1.1432055465697868,128.8565365025467,119.0,234.0
retool,last_complete_tool_round,512,1160,1611,1438,0.8926132836747361,0.1063783301064372,0.503712576053194,0.10066626717930076,0.10066626717930076,1.2396551724137932,0.10066626717930076,285,0,0.9421522200817494,169.27746870653687,142.0,397.2999999999997
retool,last_complete_tool_round,1024,1160,1611,1542,0.957169459962756,0.14426002260153056,0.6830863723222873,0.13213975110200202,0.13213975110200202,1.3293103448275863,0.13213975110200202,316,0,0.8867561514728095,207.215953307393,150.0,612.7499999999991
retool,last_complete_tool_round,2048,1160,1611,1596,0.9906890130353817,0.18504724738069897,0.8762181693999362,0.1646028553835058,0.1646028553835058,1.3758620689655172,0.1646028553835058,331,0,0.8631535993936271,249.38972431077696,155.0,854.5
retool,masked_keep_end,256,1160,1611,796,0.4941030415890751,0.10227325154994424,0.484274597542694,0.1083032580551913,0.1083032580551913,0.881896551724138,0.1083032580551913,0,0,0.8129949592173578,256.0,256.0,256.0
retool,masked_keep_end,512,1160,1611,1106,0.686530105524519,0.23899129931224952,1.1316489261527567,0.2295224471785481,0.2295224471785481,0.9344827586206896,0.2295224471785481,0,0,0.6902278695578979,512.0,512.0,512.0
retool,masked_keep_end,1024,1160,1611,1422,0.88268156424581,0.49442147346918647,2.3411376528283125,0.4718380016699068,0.4718380016699068,0.9706896551724138,0.4718380016699068,0,0,0.4443767491718097,1013.2779751332149,1024.0,1024.0
retool,masked_keep_end,2048,1160,1611,1558,0.9671011793916822,0.7666702196993922,3.6302640863195905,0.767059992167401,0.767059992167401,0.9887931034482759,0.767059992167401,0,0,0.21912965858836203,1617.1115954664342,1653.0,2048.0
retool,single_target_closure,256,1160,1611,1217,0.755431409062694,0.06758716729428073,0.32003234222493415,0.10167987332197731,0.09234692210699397,1.0491379310344828,0.10167987332197731,216,965,1.0973757317844774,202.03122432210353,216.0,254.0
retool,single_target_closure,512,1160,1611,1445,0.8969584109248914,0.10781386138823883,0.5105099675824438,0.25921353923061047,0.22003772384836187,1.2456896551724137,0.25921353923061047,285,1848,0.9367288722174906,433.7743944636678,446.0,507.0
retool,single_target_closure,1024,1160,1611,1544,0.9584109248913718,0.14523525053918598,0.6877041791277141,0.5417946080784947,0.42876863188810715,1.3310344827586207,0.5417946080784947,317,2289,0.8847853054461187,848.5187823834196,893.5,1013.0
retool,single_target_closure,2048,1160,1611,1596,0.9906890130353817,0.18504724738069897,0.8762181693999362,0.8774152753878149,0.6642747050472293,1.3758620689655172,0.8774152753878149,331,2515,0.8631535993936271,1329.3715538847118,1287.5,2004.0
retool,source_target_round,256,1160,1611,1178,0.7312228429546865,0.06360034639417557,0.3011543261492413,0.06277369123431258,0.06277369123431258,1.0155172413793103,0.06277369123431258,211,0,1.1432055465697868,128.8565365025467,119.0,234.0
retool,source_target_round,512,1160,1611,1438,0.8926132836747361,0.1063783301064372,0.503712576053194,0.10066626717930076,0.10066626717930076,1.2396551724137932,0.10066626717930076,285,0,0.9421522200817494,169.27746870653687,142.0,397.2999999999997
retool,source_target_round,1024,1160,1611,1542,0.957169459962756,0.14426002260153056,0.6830863723222873,0.13213975110200202,0.13213975110200202,1.3293103448275863,0.13213975110200202,316,0,0.8867561514728095,207.215953307393,150.0,612.7499999999991
retool,source_target_round,2048,1160,1611,1596,0.9906890130353817,0.18504724738069897,0.8762181693999362,0.1646028553835058,0.1646028553835058,1.3758620689655172,0.1646028553835058,331,0,0.8631535993936271,249.38972431077696,155.0,854.5
toolace,grouped_closure,256,678,918,693,0.7549019607843137,0.20301584485058785,0.475839494762785,0.14319529163910732,0.1426624776463095,0.9174041297935103,0.14319529163910732,60,0,0.7619334436225051,225.54501607717043,238.0,255.0
toolace,grouped_closure,512,678,918,875,0.9531590413943355,0.35064700354225403,0.8218653727664819,0.27466050970497213,0.273989898989899,1.0250737463126844,0.27466050970497213,37,0,0.5363355908284815,387.1741007194245,423.0,510.0
toolace,grouped_closure,1024,678,918,914,0.9956427015250545,0.41380624724801696,0.9699014171287739,0.5164988608804292,0.515205613123964,1.0117994100294985,0.5164988608804292,10,29,0.4860948961156407,737.6326530612245,774.5,1016.0
toolace,grouped_closure,2048,678,918,917,0.9989106753812637,0.42192254358812586,0.98892483056069,0.8064864489682598,0.8062088140907866,1.0,0.8064864489682598,1,17,0.48367666090351863,1165.3657817109145,1120.0,1868.0499999999997
toolace,last_complete_tool_round,256,678,918,514,0.5599128540305011,0.11378916030835354,0.26670517560073936,0.07565142124560072,0.07565142124560072,0.7581120943952803,0.07565142124560072,75,0,1.0654053971003228,144.1945525291829,135.0,242.0
toolace,last_complete_tool_round,512,678,918,801,0.8725490196078431,0.2787964222577105,0.6534581022797289,0.18007173595290005,0.18007173595290005,1.1814159292035398,0.18007173595290005,179,0,0.6269154230064151,220.24594257178526,197.0,449.0
toolace,last_complete_tool_round,1024,678,918,888,0.9673202614379085,0.37329048454617747,0.8749383857054837,0.2402460334958314,0.2402460334958314,1.3097345132743363,0.2402460334958314,221,0,0.5192138782031815,265.0563063063063,217.0,624.65
toolace,last_complete_tool_round,2048,678,918,914,0.9956427015250545,0.4177658169200134,0.9791820702402958,0.2754321713497138,0.2754321713497138,1.3480825958702065,0.2754321713497138,230,0,0.48560170585724494,295.2319474835886,226.0,756.2499999999986
toolace,masked_keep_end,256,678,918,295,0.3213507625272331,0.29874213836477986,0.7002079482439926,0.15652074504135943,0.15652074504135943,0.883480825958702,0.15652074504135943,0,0,0.6897851021597913,256.0,256.0,256.0
toolace,masked_keep_end,512,678,918,487,0.5305010893246187,0.5477284228097501,1.2837954405422058,0.34066820182422447,0.34066820182422447,0.9616519174041298,0.34066820182422447,0,0,0.42318694624611936,511.89263803680984,512.0,512.0
toolace,masked_keep_end,1024,678,918,763,0.8311546840958606,0.8259103724295657,1.9358133086876155,0.6747966732809093,0.6747966732809093,0.9926253687315634,0.6747966732809093,0,0,0.2081527238993662,982.3194650817236,1024.0,1024.0
toolace,masked_keep_end,2048,678,918,902,0.9825708061002179,0.9706630389779382,2.2750924214417747,0.9581057135624638,0.9581057135624638,1.0,0.9581057135624638,0,0,0.07278459387751644,1384.4542772861357,1335.5,2048.0
toolace,single_target_closure,256,678,918,693,0.7549019607843137,0.20301584485058785,0.475839494762785,0.1569616945526404,0.15176318561524704,1.0221238938053097,0.1569616945526404,130,138,0.7619334436225051,221.8989898989899,236.0,255.0
toolace,single_target_closure,512,678,918,875,0.9531590413943355,0.35064700354225403,0.8218653727664819,0.32540951144427294,0.2997282852780023,1.2905604719764012,0.32540951144427294,213,1244,0.5363355908284815,364.3485714285714,385.0,508.0
toolace,single_target_closure,1024,678,918,914,0.9956427015250545,0.41380624724801696,0.9699014171287739,0.6711394462000767,0.5932965467120681,1.3480825958702065,0.6711394462000767,230,4858,0.4860948961156407,719.3851203501094,754.0,1011.0
toolace,single_target_closure,2048,678,918,917,0.9989106753812637,0.42192254358812586,0.98892483056069,1.0518636241150388,0.8437364755068878,1.3525073746312684,1.0518636241150388,231,9445,0.48367666090351863,1123.7895310796075,1066.0,1837.3999999999999
toolace,source_target_round,256,678,918,514,0.5599128540305011,0.11378916030835354,0.26670517560073936,0.07565142124560072,0.07565142124560072,0.7581120943952803,0.07565142124560072,75,0,1.0654053971003228,144.1945525291829,135.0,242.0
toolace,source_target_round,512,678,918,801,0.8725490196078431,0.2787964222577105,0.6534581022797289,0.18007173595290005,0.18007173595290005,1.1814159292035398,0.18007173595290005,179,0,0.6269154230064151,220.24594257178526,197.0,449.0
toolace,source_target_round,1024,678,918,888,0.9673202614379085,0.37329048454617747,0.8749383857054837,0.2402460334958314,0.2402460334958314,1.3097345132743363,0.2402460334958314,221,0,0.5192138782031815,265.0563063063063,217.0,624.65
toolace,source_target_round,2048,678,918,914,0.9956427015250545,0.4177658169200134,0.9791820702402958,0.2754321713497138,0.2754321713497138,1.3480825958702065,0.2754321713497138,230,0,0.48560170585724494,295.2319474835886,226.0,756.2499999999986
