corpus,mode,max_length,targets,repaired,mean_length,median_length,p95_length,mean_schema_tokens,supervised_tokens,repair_rate
retool,invoked_tool,256,1354,0,,,,,0,0.0
retool,invoked_tool,512,1354,370,402.8783783783784,399.5,497.0,222.0,62667,0.27326440177252587
retool,invoked_tool,1024,1354,742,567.5269541778976,513.5,932.0,222.0,247490,0.5480059084194978
retool,invoked_tool,2048,1354,946,758.0422832980972,615.0,1673.25,222.0,495420,0.6986706056129985
retool,parameter_slice,256,1354,0,,,,,0,0.0
retool,parameter_slice,512,1354,370,402.8783783783784,399.5,497.0,222.0,62667,0.27326440177252587
retool,parameter_slice,1024,1354,742,567.5269541778976,513.5,932.0,222.0,247490,0.5480059084194978
retool,parameter_slice,2048,1354,946,758.0422832980972,615.0,1673.25,222.0,495420,0.6986706056129985
retool,whole_schema,256,1354,0,,,,,0,0.0
retool,whole_schema,512,1354,466,393.93562231759654,387.5,496.0,222.0,74788,0.34416543574593794
retool,whole_schema,1024,1354,886,550.3769751693002,496.0,923.0,222.0,280346,0.654357459379616
retool,whole_schema,2048,1354,1122,739.7655971479501,596.5,1674.6500000000003,222.0,567085,0.8286558345642541
toolace,invoked_tool,256,7591,937,239.47918890074706,241.0,255.0,211.55923159018144,15472,0.12343564747727571
toolace,invoked_tool,512,7591,5386,336.3555514296324,320.0,486.0,278.24173783884146,225356,0.7095244368330919
toolace,invoked_tool,1024,7591,6745,401.78472942920683,355.0,733.0,322.2879169755374,405491,0.8885522329073904
toolace,invoked_tool,2048,7591,6781,405.97817431057365,357.0,749.0,324.3685297153812,420384,0.8932946910815439
toolace,parameter_slice,256,7591,1206,238.25870646766168,240.0,255.0,210.18573797678275,20104,0.1588723488341457
toolace,parameter_slice,512,7591,5553,329.0808571943094,308.0,481.0,270.3162254637133,235419,0.7315241733631933
toolace,parameter_slice,1024,7591,6755,386.0948926720948,339.0,698.2999999999993,306.42871946706146,407018,0.8898695824002107
toolace,parameter_slice,2048,7591,6781,389.3158826131839,340.0,707.0,307.70623801799144,420384,0.8932946910815439
toolace,whole_schema,256,7591,51,249.90196078431373,252.0,256.0,223.62745098039215,831,0.006718482413384271
toolace,whole_schema,512,7591,2171,397.0529709811147,411.0,502.0,340.18378627360664,89552,0.2859965748913187
toolace,whole_schema,1024,7591,6354,611.0656279508971,603.0,938.0,532.7840730248662,377564,0.8370438677381109
toolace,whole_schema,2048,7591,7023,666.3316246618255,635.0,1132.0,582.6062936067208,450812,0.9251745488077987
