Corpus,Policy,Budget,Separated / retained,Separation rate,Affected conversations,Affected assistant tokens,Primary rate,$\Delta$
Glaive-FC,BFD-split,256,"1,893/6,479",29.22\%,"1,711/5,000",4.810\%,28.59\%,+0.62 pp
Glaive-FC,BFD-split,512,"430/6,532",6.58\%,"429/5,000",1.193\%,6.43\%,+0.15 pp
Glaive-FC,BFD-split,"1,024","1/6,547",0.02\%,"1/5,000",0.010\%,0.01\%,+0.00 pp
Glaive-FC,BFD-split,"2,048","0/6,547",0.00\%,"0/5,000",0.000\%,0.00\%,+0.00 pp
Glaive-FC,BFD-split,"4,096","0/6,547",0.00\%,"0/5,000",0.000\%,0.00\%,+0.00 pp
Glaive-FC,BFD-split,"8,192","0/6,547",0.00\%,"0/5,000",0.000\%,0.00\%,+0.00 pp
Glaive-FC,Wrapped (intended),256,"1,541/6,442",23.92\%,"1,409/5,000",3.921\%,23.69\%,+0.23 pp
Glaive-FC,Wrapped (intended),512,"810/6,489",12.48\%,"810/5,000",2.018\%,12.41\%,+0.07 pp
Glaive-FC,Wrapped (intended),"1,024","393/6,521",6.03\%,"393/5,000",0.966\%,5.97\%,+0.06 pp
Glaive-FC,Wrapped (intended),"2,048","180/6,535",2.75\%,"180/5,000",0.470\%,2.73\%,+0.02 pp
Glaive-FC,Wrapped (intended),"4,096","91/6,541",1.39\%,"91/5,000",0.260\%,1.37\%,+0.02 pp
Glaive-FC,Wrapped (intended),"8,192","48/6,545",0.73\%,"48/5,000",0.142\%,0.73\%,+0.00 pp
ReTool,BFD-split,256,"514/1,575",32.63\%,"475/2,000",0.187\%,32.44\%,+0.20 pp
ReTool,BFD-split,512,"313/1,578",19.84\%,"299/2,000",0.125\%,19.61\%,+0.22 pp
ReTool,BFD-split,"1,024","231/1,580",14.62\%,"226/2,000",0.092\%,14.43\%,+0.19 pp
ReTool,BFD-split,"2,048","88/1,581",5.57\%,"87/2,000",0.043\%,5.53\%,+0.04 pp
ReTool,BFD-split,"4,096","13/1,582",0.82\%,"13/2,000",0.006\%,0.81\%,+0.01 pp
ReTool,BFD-split,"8,192","2/1,582",0.13\%,"2/2,000",0.001\%,0.12\%,+0.00 pp
ReTool,Wrapped (intended),256,"538/1,577",34.12\%,"492/2,000",0.190\%,33.96\%,+0.16 pp
ReTool,Wrapped (intended),512,"321/1,577",20.36\%,"304/2,000",0.134\%,20.24\%,+0.12 pp
ReTool,Wrapped (intended),"1,024","188/1,581",11.89\%,"183/2,000",0.086\%,11.80\%,+0.09 pp
ReTool,Wrapped (intended),"2,048","112/1,581",7.08\%,"111/2,000",0.059\%,7.02\%,+0.07 pp
ReTool,Wrapped (intended),"4,096","62/1,582",3.92\%,"62/2,000",0.025\%,3.85\%,+0.07 pp
ReTool,Wrapped (intended),"8,192","29/1,582",1.83\%,"29/2,000",0.011\%,1.80\%,+0.03 pp
ToolACE,BFD-split,256,551/896,61.50\%,"442/11,300",2.971\%,61.37\%,+0.13 pp
ToolACE,BFD-split,512,350/902,38.80\%,"300/11,300",2.079\%,38.66\%,+0.14 pp
ToolACE,BFD-split,"1,024",239/905,26.41\%,"223/11,300",1.464\%,26.20\%,+0.21 pp
ToolACE,BFD-split,"2,048",43/906,4.75\%,"40/11,300",0.417\%,4.68\%,+0.06 pp
ToolACE,BFD-split,"4,096",3/906,0.33\%,"3/11,300",0.021\%,0.33\%,+0.00 pp
ToolACE,BFD-split,"8,192",0/906,0.00\%,"0/11,300",0.000\%,0.00\%,+0.00 pp
ToolACE,Wrapped (intended),256,561/899,62.40\%,"451/11,300",3.018\%,61.91\%,+0.49 pp
ToolACE,Wrapped (intended),512,357/901,39.62\%,"312/11,300",2.105\%,39.43\%,+0.19 pp
ToolACE,Wrapped (intended),"1,024",214/903,23.70\%,"200/11,300",1.306\%,23.61\%,+0.09 pp
ToolACE,Wrapped (intended),"2,048",115/904,12.72\%,"114/11,300",0.598\%,12.55\%,+0.17 pp
ToolACE,Wrapped (intended),"4,096",59/905,6.52\%,"59/11,300",0.318\%,6.43\%,+0.09 pp
ToolACE,Wrapped (intended),"8,192",27/906,2.98\%,"27/11,300",0.101\%,2.94\%,+0.04 pp
